"","Object","velocity","orbits","size"
"1","(1983 LC)",11.029025,8,820
"2","(1986 NA)",3.8161,2,650
"3","(1989 AZ)",6.8324,8,710
"4","(1991 GO)",11.938875,8,590
"5","(1991 JR)",4.3834,1,120
"6","(1991 TF3)",7.87028,5,860
"7","(1991 VG)",2.05564444444444,9,13
"8","(1992 BC)",7.26392,10,650
"9","(1992 JD)",4.4144,1,59
"10","(1992 SZ)",3.6394,1,570
"11","(1993 DA)",4.5821875,16,31
"12","(1993 FA1)",7.2664,1,39
"13","(1993 HC)",7.1548,1,450
"14","(1993 KA)",3.1961,2,38
"15","(1993 KA2)",14.4522,1,9.4
"16","(1993 TZ)",7.601975,8,38
"17","(1993 UD)",7.46635,4,590
"18","(1994 BB)",1.7298,2,120
"19","(1994 CJ1)",5.88655555555556,9,310
"20","(1994 EK)",10.4067,8,520
"21","(1994 GL)",7.0215,2,78
"22","(1994 NK)",4.6965,6,590
"23","(1994 WR12)",6.70497368421053,38,210
"24","(1994 XG)",9.144225,8,1100
"25","(1995 CR)",18.4204137931034,29,270
"26","(1995 FJ)",9.9014,7,520
"27","(1995 FO)",4.89986,10,410
"28","(1995 FX)",8.9621,2,570
"29","(1996 AE2)",12.7348,7,520
"30","(1996 BG1)",5.14434666666667,15,100
"31","(1996 FQ3)",5.4963,4,410
"32","(1996 GQ)",5.42086666666667,6,140
"33","(1996 TD9)",8.0332625,16,110
"34","(1996 TP6)",7.78306666666667,6,590
"35","(1996 VB3)",9.61044285714286,14,230
"36","(1996 XX14)",9.6348,5,860
"37","(1997 AC11)",11.1952625,16,470
"38","(1997 CD17)",5.5676,3,19
"39","(1997 GK3)",6.906025,8,160
"40","(1997 GL3)",16.01832,10,900
"41","(1997 QK1)",6.1659,4,520
"42","(1997 RT)",4.991,4,650
"43","(1997 VM4)",17.112,1,1400
"44","(1997 VN4)",4.85305,4,130
"45","(1997 WQ23)",6.88312727272727,11,430
"46","(1997 YM9)",3.12426086956522,23,94
"47","(1998 EP4)",7.1342625,16,300
"48","(1998 FF14)",13.86444,10,430
"49","(1998 FL5)",5.8156,1,300
"50","(1998 GC1)",6.9378,5,390
"51","(1998 HH49)",9.19253333333333,6,330
"52","(1998 HK49)",3.82730769230769,13,210
"53","(1998 KD3)",11.2902,1,450
"54","(1998 KH)",15.686,6,860
"55","(1998 KY26)",3.73364,5,47
"56","(1998 LE)",13.0262,1,470
"57","(1998 MR24)",4.1571,4,860
"58","(1998 MS2)",7.51595,4,490
"59","(1998 QH1)",5.2204,1,430
"60","(1998 QK28)",7.5454,4,860
"61","(1998 QQ)",16.3959,4,1100
"62","(1998 QQ52)",2.852,4,410
"63","(1998 SD9)",7.40057435897436,39,94
"64","(1998 SH2)",11.7552,10,410
"65","(1998 SL36)",9.32635,8,520
"66","(1998 SU4)",14.07462,10,330
